set,day_no,day_title,sort_order,headword,word_type,meaning_ko,meanings
beginner,3,,27,examine,,,
beginner,3,,28,contain,,,
beginner,3,,29,amaze,,,
beginner,3,,30,distance,,,
beginner,3,,31,knowledge,,,
beginner,3,,32,various,,,
beginner,3,,33,look into,,,
beginner,3,,34,pursue,,,
beginner,3,,35,damage,,,
beginner,3,,36,probable,,,
beginner,3,,37,according to,,,
beginner,3,,38,due,,,
beginner,3,,39,performance,,,
beginner,3,,40,investigate,,,
beginner,4,,1,respect,,,
beginner,4,,2,emission,,,
beginner,4,,3,participation,,,
beginner,4,,4,support,,,
beginner,4,,5,provide A with B,,,
beginner,4,,6,significant,,,
beginner,4,,7,immediate,,,
beginner,4,,8,ancient,,,
beginner,4,,9,necessity,,,
beginner,4,,10,military,,,
beginner,4,,11,maintain,,,
beginner,4,,12,progress,,,
beginner,4,,13,active,,,
beginner,4,,14,function,,,
beginner,4,,15,measure,,,
beginner,4,,16,influence,,,
beginner,4,,17,regular,,,
beginner,4,,18,development,,,
beginner,4,,19,permit,,,
beginner,4,,20,perspective,,,
beginner,4,,21,impact,,,
beginner,4,,22,prevent,,,
beginner,4,,23,preference,,,
beginner,4,,24,predict,,,
beginner,4,,25,due to,,,
beginner,4,,26,effort,,,
beginner,4,,27,be aware of,,,
beginner,4,,28,circumstance,,,
beginner,4,,29,environment,,,
beginner,4,,30,tendency,,,
beginner,4,,31,community,,,
beginner,4,,32,conservative,,,
beginner,4,,33,concern,,,
beginner,4,,34,passion,,,
beginner,4,,35,determine,,,
beginner,4,,36,forbid,,,
beginner,4,,37,emphasize,,,
beginner,4,,38,entire,,,
beginner,4,,39,forecast,,,
beginner,4,,40,occur,,,
beginner,5,,1,demand,,,
beginner,5,,2,alarm,,,
beginner,5,,3,motivate,,,
beginner,5,,4,organize,,,
beginner,5,,5,universal,,,
beginner,5,,6,treatment,,,
beginner,5,,7,accident,,,
beginner,5,,8,manage,,,
beginner,5,,9,adjust,,,
beginner,5,,10,approach,,,
beginner,5,,11,exist,,,
beginner,5,,12,observe,,,
beginner,5,,13,take on,,,
beginner,5,,14,confuse,,,
beginner,5,,15,handle,,,
beginner,5,,16,pay attention to,,,
beginner,5,,17,disappoint,,,
beginner,5,,18,claim,,,
beginner,5,,19,fee,,,
beginner,5,,20,general,,,
beginner,5,,21,communicate,,,
beginner,5,,22,exhibit,,,
beginner,5,,23,specific,,,
beginner,5,,24,purchase,,,
beginner,5,,25,apologize,,,
beginner,5,,26,attract,,,
beginner,5,,27,reward,,,
beginner,5,,28,suppose,,,
beginner,5,,29,arrange,,,
beginner,5,,30,purpose,,,
beginner,5,,31,describe,,,
beginner,5,,32,refer to,,,
beginner,5,,33,represent,,,
beginner,5,,34,aspect,,,
beginner,5,,35,recommend,,,
beginner,5,,36,crucial,,,
beginner,5,,37,display,,,
beginner,5,,38,disorder,,,
beginner,5,,39,gather,,,
beginner,5,,40,compare,,,
beginner,6,,1,infant,,,
beginner,6,,2,except,,,
beginner,6,,3,poison,,,
beginner,6,,4,credit,,,
beginner,6,,5,appropriate,,,
beginner,6,,6,invention,,,
beginner,6,,7,valuable,,,
beginner,6,,8,run out of,,,
beginner,6,,9,struggle,,,
beginner,6,,10,unique,,,
beginner,6,,11,concept,,,
beginner,6,,12,opinion,,,
beginner,6,,13,discuss,,,
beginner,6,,14,debate,,,
beginner,6,,15,efficient,,,
beginner,6,,16,primary,,,
beginner,6,,17,trial,,,
beginner,6,,18,respond,,,
beginner,6,,19,judgment,,,
beginner,6,,20,indicate,,,
beginner,6,,21,supplement,,,
beginner,6,,22,conclude,,,
beginner,6,,23,complain,,,
beginner,6,,24,advertise,,,
beginner,6,,25,standard,,,
beginner,6,,26,locate,,,
beginner,6,,27,can afford to do,,,
beginner,6,,28,proper,,,
beginner,6,,29,chemical,,,
beginner,6,,30,eliminate,,,
beginner,6,,31,awareness,,,
beginner,6,,32,essential,,,
beginner,6,,33,category,,,
beginner,6,,34,replace,,,
beginner,6,,35,realistic,,,
beginner,6,,36,alive,,,
beginner,6,,37,norm,,,
beginner,6,,38,consume,,,
beginner,6,,39,welfare,,,
beginner,6,,40,ideal,,,
beginner,7,,1,ordinary,,,
beginner,7,,2,appoint,,,
beginner,7,,3,reasonable,,,
beginner,7,,4,worth,,,
beginner,7,,5,rare,,,
beginner,7,,6,blend,,,
beginner,7,,7,incredible,,,
beginner,7,,8,alternative,,,
beginner,7,,9,define,,,
beginner,7,,10,average,,,
beginner,7,,11,vast,,,
beginner,7,,12,factor,,,
beginner,7,,13,element,,,
beginner,7,,14,independence,,,
beginner,7,,15,organic,,,
beginner,7,,16,obstacle,,,
beginner,7,,17,get used to,,,
beginner,7,,18,figure out,,,
beginner,7,,19,donate,,,
beginner,7,,20,publish,,,
beginner,7,,21,detect,,,
beginner,7,,22,appearance,,,
beginner,7,,23,employ,,,
beginner,7,,24,interest,,,
beginner,7,,25,deadly,,,
beginner,7,,26,protest,,,
beginner,7,,27,application,,,
beginner,7,,28,hire,,,
beginner,7,,29,enormous,,,
beginner,7,,30,occasion,,,
beginner,7,,31,brilliant,,,
beginner,7,,32,tiny,,,
beginner,7,,33,barrier,,,
beginner,7,,34,education,,,
beginner,7,,35,firm,,,
beginner,7,,36,abandon,,,
beginner,7,,37,finance,,,
beginner,7,,38,previous,,,
beginner,7,,39,invest,,,
beginner,7,,40,gender,,,
beginner,8,,1,accurate,,,
beginner,8,,2,satisfaction,,,
beginner,8,,3,estimate,,,
beginner,8,,4,comfort,,,
beginner,8,,5,disaster,,,
beginner,8,,6,opposite,,,
beginner,8,,7,theory,,,
beginner,8,,8,transfer,,,
beginner,8,,9,household,,,
beginner,8,,10,enable,,,
beginner,8,,11,sentence,,,
beginner,8,,12,demonstrate,,,
beginner,8,,13,blame,,,
beginner,8,,14,grab,,,
beginner,8,,15,operation,,,
beginner,8,,16,celebrate,,,
beginner,8,,17,compete,,,
beginner,8,,18,insight,,,
beginner,8,,19,insurance,,,
beginner,8,,20,rather than,,,
beginner,8,,21,vehicle,,,
beginner,8,,22,escape,,,
beginner,8,,23,motion,,,
beginner,8,,24,avoid,,,
beginner,8,,25,journal,,,
beginner,8,,26,refreshing,,,
beginner,8,,27,ease,,,
beginner,8,,28,preserve,,,
beginner,8,,29,majority,,,
beginner,8,,30,belong,,,
beginner,8,,31,economic,,,
beginner,8,,32,dozens of,,,
beginner,8,,33,innovate,,,
beginner,8,,34,infection,,,
beginner,8,,35,private,,,
beginner,8,,36,assign,,,
beginner,8,,37,submit,,,
beginner,8,,38,document,,,
beginner,8,,39,trend,,,
beginner,8,,40,precise,,,
beginner,9,,1,alert,,,
beginner,9,,2,remind A of B,,,
beginner,9,,3,crisis,,,
beginner,9,,4,punish,,,
beginner,9,,5,acknowledge,,,
beginner,9,,6,recall,,,
beginner,9,,7,load,,,
beginner,9,,8,genetic,,,
beginner,9,,9,violent,,,
beginner,9,,10,civilization,,,
beginner,9,,11,construct,,,
beginner,9,,12,aggressive,,,
beginner,9,,13,agent,,,
beginner,9,,14,settle,,,
beginner,9,,15,glow,,,
beginner,9,,16,severe,,,
beginner,9,,17,manufacture,,,
beginner,9,,18,deny,,,
beginner,9,,19,innocent,,,
beginner,9,,20,rotate,,,
beginner,9,,21,guarantee,,,
beginner,9,,22,declare,,,
beginner,9,,23,corporate,,,
beginner,9,,24,mature,,,
beginner,9,,25,sustainable,,,
beginner,9,,26,gradually,,,
beginner,9,,27,adequate,,,
beginner,9,,28,guilty,,,
beginner,9,,29,be based on,,,
beginner,9,,30,edit,,,
beginner,9,,31,reputation,,,
beginner,9,,32,genius,,,
beginner,9,,33,delay,,,
beginner,9,,34,register,,,
beginner,9,,35,commit,,,
beginner,9,,36,thrust,,,
beginner,9,,37,analyze,,,
beginner,9,,38,equip,,,
beginner,9,,39,comment,,,
beginner,9,,40,behavior,,,
beginner,10,,1,tremble,,,
beginner,10,,2,inherit,,,
beginner,10,,3,possess,,,
beginner,10,,4,contribute to,,,
beginner,10,,5,electricity,,,
beginner,10,,6,ancestor,,,
beginner,10,,7,extend,,,
beginner,10,,8,obvious,,,
beginner,10,,9,departure,,,
beginner,10,,10,initial,,,
beginner,10,,11,length,,,
beginner,10,,12,sacrifice,,,
beginner,10,,13,regulate,,,
beginner,10,,14,victim,,,
beginner,10,,15,temporary,,,
beginner,10,,16,logical,,,
beginner,10,,17,apparent,,,
beginner,10,,18,persist,,,
beginner,10,,19,remarkable,,,
beginner,10,,20,athlete,,,
beginner,10,,21,retire,,,
beginner,10,,22,rescue,,,
beginner,10,,23,qualified,,,
beginner,10,,24,broaden,,,
beginner,10,,25,drag,,,
beginner,10,,26,reform,,,
beginner,10,,27,individual,,,
beginner,10,,28,memorize,,,
beginner,10,,29,resist,,,
beginner,10,,30,vertical,,,
beginner,10,,31,restrict,,,
beginner,10,,32,cautious,,,
beginner,10,,33,embrace,,,
beginner,10,,34,aboard,,,
beginner,10,,35,devise,,,
beginner,10,,36,clarify,,,
beginner,10,,37,permanent,,,
beginner,10,,38,be related to,,,
beginner,10,,39,delicate,,,
beginner,10,,40,horizontal,,,
beginner,11,,1,have difficulty (in) -ing,,,
beginner,11,,2,outstanding,,,
beginner,11,,3,massive,,,
beginner,11,,4,reference,,,
beginner,11,,5,adversity,,,
beginner,11,,6,split,,,
beginner,11,,7,ability,,,
beginner,11,,8,foster,,,
beginner,11,,9,intelligent,,,
beginner,11,,10,negotiate,,,
beginner,11,,11,election,,,
beginner,11,,12,capacity,,,
beginner,11,,13,discover,,,
beginner,11,,14,analogy,,,
beginner,11,,15,population,,,
beginner,11,,16,disclose,,,
beginner,11,,17,nurture,,,
beginner,11,,18,friction,,,
beginner,11,,19,wound,,,
beginner,11,,20,biological,,,
beginner,11,,21,conflict,,,
beginner,11,,22,trace,,,
beginner,11,,23,ingredient,,,
beginner,11,,24,conversation,,,
beginner,11,,25,wire,,,
beginner,11,,26,go through,,,
beginner,11,,27,asset,,,
beginner,11,,28,carbon,,,
beginner,11,,29,pressure,,,
beginner,11,,30,consequence,,,
beginner,11,,31,available,,,
beginner,11,,32,cognitive,,,
beginner,11,,33,exotic,,,
beginner,11,,34,scatter,,,
beginner,11,,35,accuse,,,
beginner,11,,36,be regarded as,,,
beginner,11,,37,professional,,,
beginner,11,,38,cause,,,
beginner,11,,39,restore,,,
beginner,11,,40,multiple,,,
beginner,12,,1,in terms of,,,
beginner,12,,2,urgent,,,
beginner,12,,3,attach,,,
beginner,12,,4,contemporary,,,
beginner,12,,5,potential,,,
beginner,12,,6,consult,,,
beginner,12,,7,primitive,,,
beginner,12,,8,relevant,,,
beginner,12,,9,disadvantage,,,
beginner,12,,10,inhabit,,,
beginner,12,,11,poverty,,,
beginner,12,,12,explicit,,,
beginner,12,,13,strengthen,,,
beginner,12,,14,possibility,,,
beginner,12,,15,destructive,,,
beginner,12,,16,dominant,,,
beginner,12,,17,bring about,,,
beginner,12,,18,widespread,,,
beginner,12,,19,mutual,,,
beginner,12,,20,expertise,,,
beginner,12,,21,drawback,,,
beginner,12,,22,reproduce,,,
beginner,12,,23,steady,,,
beginner,12,,24,enthusiastic,,,
beginner,12,,25,approve,,,
beginner,12,,26,decorate,,,
beginner,12,,27,classify,,,
beginner,12,,28,implement,,,
beginner,12,,29,wealth,,,
beginner,12,,30,confront,,,
beginner,12,,31,fundamental,,,
beginner,12,,32,adolescence,,,
beginner,12,,33,frequency,,,
beginner,12,,34,hierarchy,,,
beginner,12,,35,reinforce,,,
beginner,12,,36,resemble,,,
beginner,12,,37,modern,,,
beginner,12,,38,industrial,,,
beginner,12,,39,integrate,,,
beginner,12,,40,identical,,,
beginner,13,,1,despair,,,
beginner,13,,2,tolerate,,,
beginner,13,,3,offend,,,
beginner,13,,4,empathy,,,
beginner,13,,5,resent,,,
beginner,13,,6,anticipate,,,
beginner,13,,7,ridiculous,,,
beginner,13,,8,glance,,,
beginner,13,,9,awkward,,,
beginner,13,,10,hesitate,,,
beginner,13,,11,faithful,,,
beginner,13,,12,delight,,,
beginner,13,,13,impatient,,,
beginner,13,,14,generous,,,
beginner,13,,15,astonished,,,
beginner,13,,16,eager,,,
beginner,13,,17,make sense of,,,
beginner,13,,18,frank,,,
beginner,13,,19,fascinated,,,
beginner,13,,20,jealous,,,
beginner,13,,21,depression,,,
beginner,13,,22,crawl,,,
beginner,13,,23,sincere,,,
beginner,13,,24,reluctant,,,
beginner,13,,25,arouse,,,
beginner,13,,26,impulse,,,
beginner,13,,27,humble,,,
beginner,13,,28,endure,,,
beginner,13,,29,genuine,,,
beginner,13,,30,applause,,,
beginner,13,,31,confident,,,
beginner,13,,32,put up with,,,
beginner,13,,33,irritate,,,
beginner,13,,34,arrogant,,,
beginner,13,,35,humiliate,,,
beginner,13,,36,compassion,,,
beginner,13,,37,ashamed,,,
beginner,13,,38,miserable,,,
beginner,13,,39,frustrated,,,
beginner,13,,40,responsible,,,
beginner,14,,1,urban,,,
beginner,14,,2,strain,,,
beginner,14,,3,occupation,,,
beginner,14,,4,exceed,,,
beginner,14,,5,outcome,,,
beginner,14,,6,shelter,,,
beginner,14,,7,challenge,,,
beginner,14,,8,familiar,,,
beginner,14,,9,colleague,,,
beginner,14,,10,complicated,,,
beginner,14,,11,deprive,,,
beginner,14,,12,secure,,,
beginner,14,,13,attendant,,,
beginner,14,,14,exchange,,,
beginner,14,,15,destination,,,
beginner,14,,16,chore,,,
beginner,14,,17,procedure,,,
beginner,14,,18,react,,,
beginner,14,,19,supervise,,,
beginner,14,,20,bond,,,
beginner,14,,21,negotiation,,,
beginner,14,,22,chief,,,
beginner,14,,23,remote,,,
beginner,14,,24,companion,,,
beginner,14,,25,incentive,,,
beginner,14,,26,specialize,,,
beginner,14,,27,collaborate,,,
beginner,14,,28,rural,,,
beginner,14,,29,make the most of,,,
beginner,14,,30,routine,,,
beginner,14,,31,withdraw,,,
beginner,14,,32,resident,,,
beginner,14,,33,keep up with,,,
beginner,14,,34,accompany,,,
beginner,14,,35,certificate,,,
beginner,14,,36,shift,,,
beginner,14,,37,strategy,,,
beginner,14,,38,deposit,,,
beginner,14,,39,adventure,,,
beginner,14,,40,miracle,,,
beginner,15,,1,region,,,
beginner,15,,2,immigration,,,
beginner,15,,3,domestic,,,
beginner,15,,4,property,,,
beginner,15,,5,executive,,,
beginner,15,,6,commodity,,,
beginner,15,,7,refuge,,,
beginner,15,,8,territory,,,
beginner,15,,9,distribute,,,
beginner,15,,10,justify,,,
beginner,15,,11,promote,,,
beginner,15,,12,dispute,,,
beginner,15,,13,sue,,,
beginner,15,,14,democracy,,,
beginner,15,,15,privilege,,,
beginner,15,,16,diplomat,,,
beginner,15,,17,wield,,,
beginner,15,,18,imprison,,,
beginner,15,,19,in charge of,,,
beginner,15,,20,commission,,,
beginner,15,,21,debt,,,
beginner,15,,22,administration,,,
beginner,15,,23,suspect,,,
beginner,15,,24,radical,,,
beginner,15,,25,ban,,,
beginner,15,,26,violate,,,
beginner,15,,27,priority,,,
beginner,15,,28,authority,,,
beginner,15,,29,candidate,,,
beginner,15,,30,refund,,,
beginner,15,,31,equivalent,,,
beginner,15,,32,patent,,,
beginner,15,,33,fund,,,
beginner,15,,34,dominate,,,
beginner,15,,35,regardless of,,,
beginner,15,,36,owe,,,
beginner,15,,37,industrialize,,,
beginner,15,,38,witness,,,
beginner,15,,39,govern,,,
beginner,15,,40,compromise,,,
beginner,16,,1,species,,,
beginner,16,,2,organism,,,
beginner,16,,3,branch,,,
beginner,16,,4,mixture,,,
beginner,16,,5,method,,,
beginner,16,,6,astronomy,,,
beginner,16,,7,toxic,,,
beginner,16,,8,mammal,,,
beginner,16,,9,solid,,,
beginner,16,,10,gravity,,,
beginner,16,,11,nerve,,,
beginner,16,,12,survive,,,
beginner,16,,13,hypothesis,,,
beginner,16,,14,metal,,,
beginner,16,,15,gas,,,
beginner,16,,16,ray,,,
beginner,16,,17,temperature,,,
beginner,16,,18,habitat,,,
beginner,16,,19,laboratory,,,
beginner,16,,20,component,,,
beginner,16,,21,vapor,,,
beginner,16,,22,consist of,,,
beginner,16,,23,particle,,,
beginner,16,,24,fluid,,,
beginner,16,,25,layer,,,
beginner,16,,26,liquid,,,
beginner,16,,27,burst,,,
beginner,16,,28,vibrate,,,
beginner,16,,29,migrate,,,
beginner,16,,30,tissue,,,
beginner,16,,31,stem,,,
beginner,16,,32,predator,,,
beginner,16,,33,skeleton,,,
beginner,16,,34,keep A from ?ing,,,
beginner,16,,35,volcanic,,,
beginner,16,,36,glacier,,,
beginner,16,,37,extract,,,
beginner,16,,38,observation,,,
beginner,16,,39,molecule,,,
beginner,16,,40,come up with,,,
beginner,17,,1,imply,,,
beginner,17,,2,empower,,,
beginner,17,,3,metaphor,,,
beginner,17,,4,shallow,,,
beginner,17,,5,series,,,
beginner,17,,6,absolute,,,
beginner,17,,7,bias,,,
beginner,17,,8,heritage,,,
beginner,17,,9,substance,,,
beginner,17,,10,conventional,,,
beginner,17,,11,inherent,,,
beginner,17,,12,spirit,,,
beginner,17,,13,profound,,,
beginner,17,,14,comic,,,
beginner,17,,15,philosophy,,,
beginner,17,,16,ultimate,,,
beginner,17,,17,spell,,,
beginner,17,,18,paradoxically,,,
beginner,17,,19,oppose,,,
beginner,17,,20,fiction,,,
beginner,17,,21,ironically,,,
beginner,17,,22,prejudice,,,
beginner,17,,23,simplify,,,
beginner,17,,24,conquer,,,
beginner,17,,25,tragic,,,
beginner,17,,26,noble,,,
beginner,17,,27,take ~ into account,,,
beginner,17,,28,be derived from,,,
beginner,17,,29,ritual,,,
beginner,17,,30,plot,,,
beginner,17,,31,translate,,,
beginner,17,,32,colonial,,,
beginner,17,,33,ascend,,,
beginner,17,,34,modify,,,
beginner,17,,35,outline,,,
beginner,17,,36,draft,,,
beginner,17,,37,humanity,,,
beginner,17,,38,myth,,,
beginner,17,,39,context,,,
beginner,17,,40,artificial,,,
beginner,18,,1,creative,,,
beginner,18,,2,harmonize,,,
beginner,18,,3,external,,,
beginner,18,,4,socialize,,,
beginner,18,,5,concrete,,,
beginner,18,,6,distinguish,,,
beginner,18,,7,imaginative,,,
beginner,18,,8,institute,,,
beginner,18,,9,proportion,,,
beginner,18,,10,theme,,,
beginner,18,,11,elaborate,,,
beginner,18,,12,magical,,,
beginner,18,,13,craft,,,
beginner,18,,14,amuse,,,
beginner,18,,15,differ,,,
beginner,18,,16,classical,,,
beginner,18,,17,memorial,,,
beginner,18,,18,impressive,,,
beginner,18,,19,entertain,,,
beginner,18,,20,precious,,,
beginner,18,,21,polish,,,
beginner,18,,22,play a role (in),,,
beginner,18,,23,architect,,,
beginner,18,,24,collapse,,,
beginner,18,,25,be associated with,,,
beginner,18,,26,perform,,,
beginner,18,,27,rehearse,,,
beginner,18,,28,masterpiece,,,
beginner,18,,29,abstract,,,
beginner,18,,30,portrait,,,
beginner,18,,31,orchestra,,,
beginner,18,,32,internal,,,
beginner,18,,33,popularity,,,
beginner,18,,34,flash,,,
beginner,18,,35,contrast,,,
beginner,18,,36,encounter,,,
beginner,18,,37,entrance,,,
beginner,18,,38,compose,,,
beginner,18,,39,coordinate,,,
beginner,18,,40,authentic,,,
beginner,19,,1,accelerate,,,
beginner,19,,2,upload,,,
beginner,19,,3,passenger,,,
beginner,19,,4,astronaut,,,
beginner,19,,5,circuit,,,
beginner,19,,6,turn A into B,,,
beginner,19,,7,have A in common,,,
beginner,19,,8,bump,,,
beginner,19,,9,crash,,,
beginner,19,,10,install,,,
beginner,19,,11,minimize,,,
beginner,19,,12,manual,,,
beginner,19,,13,navigate,,,
beginner,19,,14,commute,,,
beginner,19,,15,automatic,,,
beginner,19,,16,sort,,,
beginner,19,,17,ride,,,
beginner,19,,18,shipment,,,
beginner,19,,19,activate,,,
beginner,19,,20,loosen,,,
beginner,19,,21,spare,,,
beginner,19,,22,multiply,,,
beginner,19,,23,transport,,,
beginner,19,,24,equation,,,
beginner,19,,25,rough,,,
beginner,19,,26,visual,,,
beginner,19,,27,inspect,,,
beginner,19,,28,aircraft,,,
beginner,19,,29,assemble,,,
beginner,19,,30,rush,,,
beginner,19,,31,angle,,,
beginner,19,,32,maximize,,,
beginner,19,,33,recharge,,,
beginner,19,,34,nuclear,,,
beginner,19,,35,statistics,,,
beginner,19,,36,mechanical,,,
beginner,19,,37,download,,,
beginner,19,,38,numerous,,,
beginner,19,,39,virtual,,,
beginner,19,,40,electronic,,,
beginner,20,,1,stroke,,,
beginner,20,,2,breath,,,
beginner,20,,3,edible,,,
beginner,20,,4,prescribe,,,
beginner,20,,5,immune,,,
beginner,20,,6,flavor,,,
beginner,20,,7,row,,,
beginner,20,,8,spill,,,
beginner,20,,9,digestion,,,
beginner,20,,10,symptom,,,
beginner,20,,11,posture,,,
beginner,20,,12,bleed,,,
beginner,20,,13,therapy,,,
beginner,20,,14,fiber,,,
beginner,20,,15,starve,,,
beginner,20,,16,pregnant,,,
beginner,20,,17,cure,,,
beginner,20,,18,muscle,,,
beginner,20,,19,suffer from,,,
beginner,20,,20,physical,,,
beginner,20,,21,portion,,,
beginner,20,,22,diagnose,,,
beginner,20,,23,dietary,,,
beginner,20,,24,fatigue,,,
beginner,20,,25,faint,,,
beginner,20,,26,heal,,,
beginner,20,,27,flexible,,,
beginner,20,,28,recipe,,,
beginner,20,,29,target,,,
beginner,20,,30,extreme,,,
beginner,20,,31,stretch,,,
beginner,20,,32,track,,,
beginner,20,,33,nutrient,,,
beginner,20,,34,surgery,,,
beginner,20,,35,scent,,,
beginner,20,,36,opponent,,,
beginner,20,,37,have an effect on,,,
beginner,20,,38,obesity,,,
beginner,20,,39,stir,,,
beginner,20,,40,chronic,,,
beginner,21,,1,inevitable,,,
beginner,21,,2,grant,,,
beginner,21,,3,get rid of,,,
beginner,21,,4,pupil,,,
beginner,21,,5,interact,,,
beginner,21,,6,recruit,,,
beginner,21,,7,assist,,,
beginner,21,,8,enroll,,,
beginner,21,,9,disguise,,,
beginner,21,,10,strict,,,
beginner,21,,11,gratitude,,,
beginner,21,,12,trigger,,,
beginner,21,,13,attempt,,,
beginner,21,,14,award,,,
beginner,21,,15,intellectual,,,
beginner,21,,16,presentation,,,
beginner,21,,17,intermediate,,,
beginner,21,,18,result from,,,
beginner,21,,19,aid,,,
beginner,21,,20,formal,,,
beginner,21,,21,argue,,,
beginner,21,,22,captive,,,
beginner,21,,23,collective,,,
beginner,21,,24,academic,,,
beginner,21,,25,isolate,,,
beginner,21,,26,command,,,
beginner,21,,27,admire,,,
beginner,21,,28,bother,,,
beginner,21,,29,instruct,,,
beginner,21,,30,discipline,,,
beginner,21,,31,explanation,,,
beginner,21,,32,guidance,,,
beginner,21,,33,invade,,,
beginner,21,,34,policy,,,
beginner,21,,35,range,,,
beginner,21,,36,typical,,,
beginner,21,,37,assess,,,
beginner,21,,38,score,,,
beginner,21,,39,voluntary,,,
beginner,21,,40,evaluate,,,
beginner,22,,1,cheat,,,
beginner,22,,2,exclude,,,
beginner,22,,3,uneasy,,,
beginner,22,,4,assumption,,,
beginner,22,,5,mental,,,
beginner,22,,6,innate,,,
beginner,22,,7,desperate,,,
beginner,22,,8,persuade,,,
beginner,22,,9,stress,,,
beginner,22,,10,out of place,,,
beginner,22,,11,optimistic,,,
beginner,22,,12,overwhelm,,,
beginner,22,,13,illusion,,,
beginner,22,,14,ensure,,,
beginner,22,,15,end up -ing,,,
beginner,22,,16,associate,,,
beginner,22,,17,distraction,,,
beginner,22,,18,intend,,,
beginner,22,,19,complex,,,
beginner,22,,20,skeptical,,,
beginner,22,,21,afraid,,,
beginner,22,,22,manipulate,,,
beginner,22,,23,attribute,,,
beginner,22,,24,identify,,,
beginner,22,,25,convince,,,
beginner,22,,26,anxiety,,,
beginner,22,,27,psychology,,,
beginner,22,,28,interfere,,,
beginner,22,,29,intervene,,,
beginner,22,,30,stable,,,
beginner,22,,31,frightened,,,
beginner,22,,32,subjective,,,
beginner,22,,33,favorable,,,
beginner,22,,34,undergo,,,
beginner,22,,35,relief,,,
beginner,22,,36,boost,,,
beginner,22,,37,curiosity,,,
beginner,22,,38,ignorant,,,
beginner,22,,39,burden,,,
beginner,22,,40,sudden,,,
beginner,23,,1,feel free to do,,,
beginner,23,,2,diminish,,,
beginner,23,,3,obscure,,,
beginner,23,,4,leak,,,
beginner,23,,5,illustrate,,,
beginner,23,,6,broadcast,,,
beginner,23,,7,variable,,,
beginner,23,,8,get in touch with,,,
beginner,23,,9,stamp,,,
beginner,23,,10,portable,,,
